cur_datetime,canTemp,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[3.0],TempProf_cur[15.8],TempProf_cur[22.9],TempProf_cur[27.8],TempProf_cur[32.9],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],
2002-06-10 11:25:00,289.748,3.470,287.867,98010.000,290.778,287.454,286.699,286.297,285.944,97940.576,97790.010,97708.478,97650.159,97591.789,
2002-06-10 11:30:00,288.070,3.470,287.950,98010.000,288.341,287.058,286.476,286.147,285.852,97941.318,97790.173,97708.557,97650.200,97591.806,
2002-06-10 11:35:00,290.013,3.470,288.033,98010.000,291.135,287.526,286.717,286.288,285.914,97940.481,97790.014,97708.494,97650.176,97591.801,
2002-06-10 11:40:00,288.185,3.470,288.117,98010.000,288.474,287.106,286.483,286.133,285.819,97941.277,97790.184,97708.574,97650.218,97591.818,
2002-06-10 11:45:00,290.277,3.470,288.200,98010.000,291.482,287.608,286.743,286.285,285.888,97940.375,97790.011,97708.506,97650.190,97591.812,
2002-06-10 11:50:00,288.324,3.470,288.283,98010.000,288.630,287.171,286.502,286.127,285.794,97941.215,97790.185,97708.587,97650.231,97591.829,
2002-06-10 11:55:00,290.556,3.015,288.367,98010.000,291.842,287.703,286.777,286.290,285.869,97940.255,97790.001,97708.513,97650.201,97591.822,
2002-06-10 12:00:00,288.481,3.015,288.450,98010.000,288.807,287.247,286.529,286.129,285.775,97941.137,97790.179,97708.595,97650.242,97591.838,
2002-06-10 12:05:00,290.911,3.015,288.500,98012.500,292.272,287.891,286.913,286.406,285.972,97939.981,97789.880,97708.437,97650.151,97591.794,
2002-06-10 12:10:00,288.812,3.015,288.550,98015.000,289.143,287.534,286.783,286.371,286.009,97940.726,97789.937,97708.430,97650.127,97591.771,
2002-06-10 12:15:00,291.214,3.015,288.600,98017.500,292.562,288.191,287.187,286.666,286.219,97939.564,97789.625,97708.262,97650.030,97591.726,
2002-06-10 12:20:00,289.056,3.015,288.650,98020.000,289.380,287.791,287.033,286.616,286.247,97940.356,97789.698,97708.263,97650.011,97591.704,
2002-06-10 12:25:00,291.365,3.349,288.700,98022.500,292.681,288.406,287.412,286.894,286.448,97939.252,97789.404,97708.104,97649.918,97591.660,
2002-06-10 12:30:00,289.231,3.015,288.750,98025.000,289.542,288.000,287.251,286.838,286.473,97940.042,97789.482,97708.107,97649.900,97591.639,
2002-06-10 12:35:00,291.490,4.682,288.800,98027.500,292.770,288.603,287.625,287.113,286.672,97938.961,97789.192,97707.950,97649.808,97591.595,
2002-06-10 12:40:00,289.396,3.015,288.850,98030.000,289.693,288.201,287.465,287.058,286.698,97939.737,97789.269,97707.953,97649.790,97591.575,
2002-06-10 12:45:00,291.582,5.689,288.900,98032.500,292.822,288.783,287.827,287.326,286.893,97938.691,97788.987,97707.800,97649.700,97591.531,
2002-06-10 12:50:00,289.540,3.015,288.950,98035.000,289.823,288.387,287.669,287.271,286.919,97939.449,97789.063,97707.802,97649.682,97591.510,
2002-06-10 12:55:00,291.648,5.194,289.000,98037.500,292.842,288.949,288.022,287.533,287.111,97938.439,97788.788,97707.652,97649.593,97591.467,
2002-06-10 13:00:00,289.666,2.674,289.050,98040.000,289.935,288.559,287.865,287.479,287.136,97939.176,97788.863,97707.655,97649.575,97591.447,
2002-06-10 13:05:00,291.667,5.582,289.083,98040.833,292.814,289.067,288.166,287.689,287.274,97938.262,97788.640,97707.542,97649.514,97591.420,
2002-06-10 13:10:00,289.688,2.674,289.117,98041.667,289.950,288.616,287.948,287.573,287.238,97939.073,97788.774,97707.587,97649.525,97591.417,
2002-06-10 13:15:00,291.619,5.481,289.150,98042.500,292.745,289.080,288.216,287.759,287.362,97938.212,97788.575,97707.486,97649.469,97591.392,
2002-06-10 13:20:00,289.743,2.674,289.183,98043.333,290.004,288.678,288.023,287.658,287.335,97938.960,97788.691,97707.523,97649.477,97591.387,
2002-06-10 13:25:00,291.656,6.055,289.217,98044.167,292.765,289.146,288.295,287.847,287.461,97938.099,97788.488,97707.420,97649.420,97591.362,
2002-06-10 13:30:00,289.831,2.674,289.250,98045.000,290.094,288.765,288.117,287.758,287.440,97938.817,97788.594,97707.451,97649.425,97591.356,
2002-06-10 13:35:00,291.652,6.387,289.283,98045.833,292.728,289.202,288.371,287.936,287.561,97938.004,97788.403,97707.354,97649.371,97591.331,
2002-06-10 13:40:00,289.907,2.674,289.317,98046.667,290.170,288.845,288.206,287.855,287.545,97938.684,97788.499,97707.381,97649.374,97591.325,
2002-06-10 13:45:00,291.633,6.602,289.350,98047.500,292.669,289.254,288.445,288.023,287.661,97937.914,97788.319,97707.288,97649.321,97591.300,
2002-06-10 13:50:00,289.981,2.674,289.383,98048.333,290.243,288.923,288.296,287.952,287.651,97938.550,97788.405,97707.310,97649.321,97591.293,
