,Urban_MNP_19m_5min_tdb_c,Rural_MNP_1p2m_5min_tdb_c,Rural_MNP_1p2m_5min_Sta_pa,Bypass_Direct,Bypass_Real_P0,Bypass_RealEPW
2004-06-15 18:50:00,24.396,23.046,99428.0,26.666072434972534,26.7436194869274,27.241218252852946
2004-06-15 18:55:00,24.396,22.9,99432.0,26.59919103140595,26.67675445404865,27.174242274106405
2004-06-15 19:00:00,24.318,22.824,99434.0,26.52982751175432,26.60740710785217,27.09441601584149
2004-06-15 19:05:00,24.304,22.782,99428.0,26.40316980441861,26.480768772607917,26.967571934230705
2004-06-15 19:10:00,24.304,22.68,99434.0,26.23248553813994,26.310109231709532,26.79663512673386
2004-06-15 19:15:00,24.216,22.634,99438.0,25.448854138057243,25.52658295969121,26.011835877751196
2004-06-15 19:20:00,24.084,22.608,99436.0,24.897190506811626,24.975019731414136,25.459376537487856
2004-06-15 19:25:00,23.996,22.436,99432.0,24.65355043398415,24.731432328427047,25.21539338369587
2004-06-15 19:30:00,23.91,22.358,99434.0,24.39452631811855,24.47244465263867,24.955984936636582
2004-06-15 19:35:00,23.902,22.268,99432.0,24.125818215782715,24.20376475660987,24.68686852261135
2004-06-15 19:40:00,23.792,22.172,99444.0,23.923762678704634,24.001725668559118,24.484501186339457
2004-06-15 19:45:00,23.668,22.052,99446.0,23.766507551011614,23.84447284072604,24.326992873483732
2004-06-15 19:50:00,23.504,22.04,99454.0,23.626335583823334,23.704291722286086,24.18658400603141
2004-06-15 19:55:00,23.4,22.006,99462.0,23.598342288989613,23.67626433061315,24.158511078905235
2004-06-15 20:00:00,23.28,21.908,99472.0,23.66431306668221,23.742176921012174,24.192036111652328
2004-06-15 20:05:00,23.146,21.872,99478.0,23.623639972029707,23.70154864451257,24.15134627407093
2004-06-15 20:10:00,22.988,21.860000000000003,99486.0,23.514907260135203,23.592874390802592,24.042507354143368
2004-06-15 20:15:00,22.85,21.786,99484.0,23.396398518135527,23.47442443175612,23.92387791646172
2004-06-15 20:20:00,22.786,21.692,99490.0,23.301738193039,23.379818352733764,23.829128487706896
2004-06-15 20:25:00,22.668,21.592,99496.0,23.217415912702734,23.295548515743633,23.74473096274238
2004-06-15 20:30:00,22.64,21.478,99502.0,23.137251162840244,23.21543464309923,23.664495699355143
2004-06-15 20:35:00,22.564,21.432,99502.0,23.059025906488102,23.137259797096362,23.586202400675802
2004-06-15 20:40:00,22.516,21.362,99504.0,22.983334952553207,23.06161824414943,23.510446233567905
2004-06-15 20:45:00,22.474,21.336,99514.0,22.899595759031797,22.977929224290733,23.426630405804985
2004-06-15 20:50:00,22.380000000000003,21.198,99518.0,22.82454543193421,22.902927609086476,23.35151514609089
2004-06-15 20:55:00,22.296,21.084,99514.0,22.7514198058214,22.829850168913197,23.278326976970675
2004-06-15 21:00:00,22.23,21.032,99522.0,22.680159018721838,22.758636798319344,23.164415465598438
2004-06-15 21:05:00,22.134,21.046,99526.0,22.303871742647516,22.382414438788828,22.787677193422383
2004-06-15 21:10:00,22.132,20.956,99524.0,22.24407282428234,22.322641554628376,22.72782234287689
2004-06-15 21:15:00,22.022,20.772,99528.0,22.264988378720602,22.343562981061382,22.748772458802193
2004-06-15 21:20:00,21.96,20.604,99526.0,22.278099979595538,22.35667191015898,22.76189936413664
2004-06-15 21:25:00,21.924,20.436,99534.0,22.274227229780195,22.352790977392942,22.758013109458602
2004-06-15 21:30:00,21.932,20.424,99536.0,22.277177695466435,22.355723554944348,22.760949708445253
2004-06-15 21:35:00,21.876,20.37,99538.0,22.2963379649982,22.374853158767507,22.78010554463941
2004-06-15 21:40:00,21.842,20.298,99536.0,22.3386876204371,22.41715556943143,22.822465964478056
2004-06-15 21:45:00,21.786,20.208,99528.0,22.404313719429638,22.482715390838678,22.888115687880884
2004-06-15 21:50:00,21.722,20.146,99536.0,22.501027738477603,22.579339351169722,22.984872148372403
2004-06-15 21:55:00,21.674,19.968,99528.0,22.630619630387343,22.70881316708011,23.114523511356197
2004-06-15 22:00:00,21.632,19.596,99522.0,22.80201762991834,22.880058157756935,23.286003329798916
